TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T078219_2.00	F135_2.00	TS04_2.00	M01441_2.00	MS58_2.00	RO3G_14198	RO3G_14198	Rhizopus_oryzae	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	RO3G_14198	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Broad	http://www.broadinstitute.org/	2016	May	1
T078228_2.00	F135_2.00	TS04_2.00	M01442_2.00	MS58_2.00	RO3G_16591	RO3G_16591	Rhizopus_oryzae	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	RO3G_16591	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Broad	http://www.broadinstitute.org/	2016	May	1
T080858_2.00	F135_2.00	TS12_2.00	M08081_2.00	MS31_2.00	AT3G48430	REF6	Arabidopsis_thaliana	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	AT3G48430	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T080964_2.00	F135_2.00	TS12_2.00	M01444_2.00	MS58_2.00	BATDEDRAFT_27309	BATDEDRAFT_27309	Batrachochytrium_dendrobatidis	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	BATDEDRAFT_27309	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T080990_2.00	F135_2.00	TS12_2.00	M01169_2.00	MS57_2.00	BATDEDRAFT_9451	BATDEDRAFT_9451	Batrachochytrium_dendrobatidis	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	BATDEDRAFT_9451	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T082403_2.00	F135_2.00	TS12_2.00	M01031_2.00	MS54_2.00	CAGL0E06116g	CAGL0E06116g	Candida_glabrata	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CAGL0E06116g	PBM	Siggers2014	PBM	Siggers	2014	25042805	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T082404_2.00	F135_2.00	TS12_2.00	M01032_2.00	MS54_2.00	CAGL0F05995g	CAGL0F05995g	Candida_glabrata	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CAGL0F05995g	PBM	Siggers2014	PBM	Siggers	2014	25042805	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T082423_2.00	F135_2.00	TS12_2.00	M01033_2.00	MS54_2.00	CAGL0L06072g	CAGL0L06072g	Candida_glabrata	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CAGL0L06072g	PBM	Siggers2014	PBM	Siggers	2014	25042805	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T082432_2.00	F135_2.00	TS12_2.00	M01034_2.00	MS54_2.00	CAGL0M13189g	CAGL0M13189g	Candida_glabrata	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CAGL0M13189g	PBM	Siggers2014	PBM	Siggers	2014	25042805	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T082498_2.00	F135_2.00	TS12_2.00	M01035_2.00	MS54_2.00	CaO19.4752	CaO19.4752	Candida_albicans	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CaO19.4752	PBM	Siggers2014	PBM	Siggers	2014	25042805	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T082506_2.00	F135_2.00	TS12_2.00	M01036_2.00	MS54_2.00	CaO19.6121	CaO19.6121	Candida_albicans	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CaO19.6121	PBM	Siggers2014	PBM	Siggers	2014	25042805	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T082509_2.00	F135_2.00	TS12_2.00	M01037_2.00	MS54_2.00	CaO19.723	CaO19.723	Candida_albicans	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CaO19.723	PBM	Siggers2014	PBM	Siggers	2014	25042805	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T083895_2.00	F135_2.00	TS12_2.00	M01861_2.00	MS64_2.00	CNG02160	CNG02160	Cryptococcus_neoformans	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	CNG02160	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T085479_2.00	F135_2.00	TS12_2.00	M01445_2.00	MS58_2.00	DDB_G0291342	DDB_G0291342	Dictyostelium_discoideum	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	DDB_G0291342	PBM	TFs_NonAnimalZFs	PBM	Najafabadi	2015a	25690854	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T085689_2.00	F135_2.00	TS12_2.00	M00127_2.00	MS02_2.00	EDL38120.1	EDL38120.1	Mus_musculus	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	EDL38120.1	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094781_2.00	F135_2.00	TS12_2.00	M04390_2.00	MS62_2.00	ENSG00000011590	ZBTB32	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000011590	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094790_2.00	F135_2.00	TS12_2.00	M08277_2.00	MS52_2.00	ENSG00000061455	PRDM6	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000061455	ChIP-seq	Schmitges2016	ChIP-seq	Schmitges	2016	27852650	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094796_2.00	F135_2.00	TS12_2.00	M04400_2.00	MS62_2.00	ENSG00000067082	KLF6	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000067082	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094823_2.00	F135_2.00	TS12_2.00	M04406_2.00	MS62_2.00	ENSG00000100811	YY1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000100811	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094827_2.00	F135_2.00	TS12_2.00	M08867_2.00	MS27_2.00	ENSG00000102349	KLF8	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000102349	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094828_2.00	F135_2.00	TS12_2.00	M04410_2.00	MS62_2.00	ENSG00000102554	KLF5	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000102554	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094834_2.00	F135_2.00	TS12_2.00	M04414_2.00	MS62_2.00	ENSG00000103343	ZNF174	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000103343	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094840_2.00	F135_2.00	TS12_2.00	M00223_2.00	MS04_2.00	ENSG00000105610	KLF1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000105610	PBM	Barrera2016	PBM	Barrera	2016	27013732	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094844_2.00	F135_2.00	TS12_2.00	M08296_2.00	MS52_2.00	ENSG00000105866	SP4	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000105866	ChIP-seq	Schmitges2016	ChIP-seq	Schmitges	2016	27852650	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094848_2.00	F135_2.00	TS12_2.00	M04418_2.00	MS62_2.00	ENSG00000109787	KLF3	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000109787	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094864_2.00	F135_2.00	TS12_2.00	M08298_2.00	MS52_2.00	ENSG00000118263	KLF7	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000118263	ChIP-seq	Schmitges2016	ChIP-seq	Schmitges	2016	27852650	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094867_2.00	F135_2.00	TS12_2.00	M04430_2.00	MS62_2.00	ENSG00000118922	KLF12	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000118922	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094868_2.00	F135_2.00	TS12_2.00	M08088_2.00	MS31_2.00	ENSG00000119138	KLF9	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000119138	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094869_2.00	F135_2.00	TS12_2.00	M04433_2.00	MS62_2.00	ENSG00000119574	ZBTB45	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000119574	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094872_2.00	F135_2.00	TS12_2.00	M04437_2.00	MS62_2.00	ENSG00000120738	EGR1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000120738	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094882_2.00	F135_2.00	TS12_2.00	M04439_2.00	MS62_2.00	ENSG00000122877	EGR2	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000122877	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094886_2.00	F135_2.00	TS12_2.00	M04441_2.00	MS62_2.00	ENSG00000124216	SNAI1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000124216	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094895_2.00	F135_2.00	TS12_2.00	M04445_2.00	MS62_2.00	ENSG00000125850	OVOL2	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000125850	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094898_2.00	F135_2.00	TS12_2.00	M04449_2.00	MS62_2.00	ENSG00000126603	GLIS2	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000126603	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094904_2.00	F135_2.00	TS12_2.00	M04455_2.00	MS62_2.00	ENSG00000127528	KLF2	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000127528	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094908_2.00	F135_2.00	TS12_2.00	M04457_2.00	MS62_2.00	ENSG00000129911	KLF16	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000129911	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094930_2.00	F135_2.00	TS12_2.00	M04461_2.00	MS62_2.00	ENSG00000135625	EGR4	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000135625	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094931_2.00	F135_2.00	TS12_2.00	M01172_2.00	MS57_2.00	ENSG00000136451	VEZF1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000136451	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094932_2.00	F135_2.00	TS12_2.00	M04463_2.00	MS62_2.00	ENSG00000136826	KLF4	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000136826	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094940_2.00	F135_2.00	TS12_2.00	M04467_2.00	MS62_2.00	ENSG00000139651	ZNF740	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000139651	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094954_2.00	F135_2.00	TS12_2.00	M04477_2.00	MS62_2.00	ENSG00000143867	OSR1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000143867	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094977_2.00	F135_2.00	TS12_2.00	M04483_2.00	MS62_2.00	ENSG00000152467	ZSCAN1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000152467	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T094987_2.00	F135_2.00	TS12_2.00	M04489_2.00	MS62_2.00	ENSG00000155090	KLF10	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000155090	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095006_2.00	F135_2.00	TS12_2.00	M04497_2.00	MS62_2.00	ENSG00000160685	ZBTB7B	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000160685	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095010_2.00	F135_2.00	TS12_2.00	M08320_2.00	MS52_2.00	ENSG00000161405	IKZF3	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000161405	ChIP-seq	Schmitges2016	ChIP-seq	Schmitges	2016	27852650	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095017_2.00	F135_2.00	TS12_2.00	M04509_2.00	MS62_2.00	ENSG00000162702	ZNF281	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000162702	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095022_2.00	F135_2.00	TS12_2.00	M04511_2.00	MS62_2.00	ENSG00000163884	KLF15	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000163884	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095027_2.00	F135_2.00	TS12_2.00	M04517_2.00	MS62_2.00	ENSG00000164651	SP8	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000164651	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095047_2.00	F135_2.00	TS12_2.00	M04525_2.00	MS62_2.00	ENSG00000167182	SP2	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000167182	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095075_2.00	F135_2.00	TS12_2.00	M04533_2.00	MS62_2.00	ENSG00000169155	ZBTB43	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000169155	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095080_2.00	F135_2.00	TS12_2.00	M04537_2.00	MS62_2.00	ENSG00000169926	KLF13	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000169926	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095087_2.00	F135_2.00	TS12_2.00	M07625_2.00	MS03_2.00	ENSG00000170260	ZNF212	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000170260	ChIP-seq+ChIP-exo	Barazandeh2018	ChIP-seq_and_ChIP-exo	Barazandeh	2018	29146583	March 2018	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095101_2.00	F135_2.00	TS12_2.00	M04545_2.00	MS62_2.00	ENSG00000171443	ZNF524	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000171443	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095102_2.00	F135_2.00	TS12_2.00	M04547_2.00	MS62_2.00	ENSG00000171448	ZBTB26	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000171448	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095111_2.00	F135_2.00	TS12_2.00	M04551_2.00	MS62_2.00	ENSG00000171872	KLF17	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000171872	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095116_2.00	F135_2.00	TS12_2.00	M04554_2.00	MS62_2.00	ENSG00000172059	KLF11	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000172059	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095119_2.00	F135_2.00	TS12_2.00	M08093_2.00	MS31_2.00	ENSG00000172466	ZNF24	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000172466	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095121_2.00	F135_2.00	TS12_2.00	M04556_2.00	MS62_2.00	ENSG00000172818	OVOL1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000172818	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095122_2.00	F135_2.00	TS12_2.00	M04558_2.00	MS62_2.00	ENSG00000172845	SP3	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000172845	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095129_2.00	F135_2.00	TS12_2.00	M08445_2.00	MS31_2.00	ENSG00000173404	INSM1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000173404	COMPILED	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095134_2.00	F135_2.00	TS12_2.00	M04564_2.00	MS62_2.00	ENSG00000174332	GLIS1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000174332	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095155_2.00	F135_2.00	TS12_2.00	M04568_2.00	MS62_2.00	ENSG00000177374	HIC1	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000177374	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095156_2.00	F135_2.00	TS12_2.00	M04570_2.00	MS62_2.00	ENSG00000177485	ZBTB33	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000177485	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095163_2.00	F135_2.00	TS12_2.00	M07650_2.00	MS03_2.00	ENSG00000178150	ZNF114	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000178150	ChIP-seq+ChIP-exo	Barazandeh2018	ChIP-seq_and_ChIP-exo	Barazandeh	2018	29146583	March 2018	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095173_2.00	F135_2.00	TS12_2.00	M04579_2.00	MS62_2.00	ENSG00000178951	ZBTB7A	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000178951	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
T095174_2.00	F135_2.00	TS12_2.00	M04581_2.00	MS62_2.00	ENSG00000179059	ZFP42	Homo_sapiens	D	C2H2 ZF	zf-C2H2	1	0.755454495539129	ENSG00000179059	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	FALSE	Ensembl	http://www.ensembl.org/	2018	Dec	8
